DATE,TMAX,PRCP,TMIN
2023-04-13,22.7,    0,6.0
2023-04-12,18.9,    5,11.177200234500518
2023-04-11,24.5,    0,10.7
2023-04-10,22.4,    0,6.7
2023-04-09,19.5,    5,4.9
2023-04-08,15.3,    5,9.673100019541709
2023-04-07,17.7,  589,9.350023096464787
2023-04-06,21.0,   10,13.7
2023-04-05,19.9,   10,13.6
2023-04-04,23.5,    0,8.2
2023-04-03,21.4,    0,8.271009470462037
2023-04-02,22.3,    0,9.3
2023-04-01,25.2,    0,8.6
2023-03-31,23.6,    0,8.7
2023-03-30,21.5,    0,5.1
2023-03-29,19.7,    0,4.8
2023-03-28,18.8,    0,4.9
2023-03-27,16.6,    0,7.470091770042003
2023-03-26,12.8,  269,7.397281070003817
2023-03-25,17.3,   30,9.6
2023-03-24,20.5,    0,7.086737284004582
2023-03-23,18.514285714285716,  180,7.095828193095491
2023-03-22,25.5,    0,10.1
2023-03-21,16.3,   51,9.0
2023-03-20,20.0,    0,3.8
2023-03-19,18.0,    0,7.017984654710391
2023-03-18,13.3,  279,7.009140921073679
2023-03-17,16.4,    5,6.7736082775349225
2023-03-16,22.5,    0,8.8
2023-03-15,21.2,    0,4.9
2023-03-14,17.5,    0,2.4
2023-03-13,11.9,   89,5.591727821109916
2023-03-12,23.2,    0,5.741038472869075
2023-03-11,24.7,    0,7.3
2023-03-10,22.7,    0,5.23386454762616
2023-03-09,21.0,    0,7.5
2023-03-08,20.9,    0,5.3
2023-03-07,19.1,    0,3.7
2023-03-06,17.6,    0,2.6
2023-03-05,14.6,    0,4.261354820045022
2023-03-04,15.0,    0,2.2
2023-03-03,12.7,0,3.809521936767118
2023-03-02,9.9,   25,3.615534250619285
2023-03-01,18.7,    0,4.7
2023-02-28,17.1,    0,1.8
2023-02-27,15.5,    0,0.8
2023-02-26,7.2,    0,2.7540456674923806
2023-02-25,7.9,    0,2.7079101854878784
2023-02-24,7.2,   61,2.4260920036696967
2023-02-23,12.1,    0,3.1
2023-02-22,9.5,0,1.8534588960590872
2023-02-21,5.7,   41,0.5
2023-02-20,11.4,    0,1.5741506752709042
2023-02-19,14.9,  130,1.8377870389072681
2023-02-18,10.164285714285715,    0,3.8
2023-02-17,12.6,    0,-0.9
2023-02-16,5.0,    0,1.8332178736579328
2023-02-15,5.3,   10,-1.3
2023-02-14,7.5,    5,1.7045155587836107
2023-02-13,11.0,0,1.7136064678745198
2023-02-12,18.3,    0,3.7
2023-02-11,13.9,    0,1.531939990937824
2023-02-10,8.3,  109,3.3
2023-02-09,8.9,    0,2.7
2023-02-08,11.0,    0,1.2650062017595953
2023-02-07,14.8,    0,1.5215068219355548
2023-02-06,11.3,    0,0.6
2023-02-05,11.3,    0,0.9016775467848159
2023-02-04,11.8,    0,-0.3
2023-02-03,6.9,    0,0.5588190570479966
2023-02-02,7.4,    0,-0.10481730658836694
2023-02-01,10.4,    0,-1.0
2023-01-31,7.2,    0,-0.522281388082
2023-01-30,7.3,    0,-1.4
2023-01-29,7.3,    0,-2.0
2023-01-28,5.2,   46,-0.5768279637622371
2023-01-27,3.2,   61,-0.4768279637622369
2023-01-26,5.7,    0,-4.0
2023-01-25,1.3,   30,-0.6175937315606475
2023-01-24,9.3,   89,-0.5793531047167121
2023-01-23,9.6,   10,3.6
2023-01-22,8.5,    0,-0.6
2023-01-21,7.3,    0,0.872155248466463
2023-01-20,12.2,    0,0.8
2023-01-19,11.0,    0,1.3875208412189104
2023-01-18,10.8,    0,1.7057026594007285
2023-01-17,9.0,    0,1.9169114222153991
2023-01-16,10.9,    0,2.0901908476084583
2023-01-15,13.3,    0,1.9643734182424966
2023-01-14,14.8,  140,10.3
2023-01-13,14.6,   30,3.7
2023-01-12,14.2,    0,0.4
2023-01-11,10.5,    0,-0.5
2023-01-10,8.4,    0,2.306497789824214
2023-01-09,12.4,    0,1.5
2023-01-08,12.9,    0,2.370079200733337
2023-01-07,9.6,    0,1.1
2023-01-06,10.0,    0,1.5524160900506863
2023-01-05,9.2,    0,2.2
2023-01-04,8.2,    0,1.4024160900506866
2023-01-03,9.8,    0,0.7
2023-01-02,8.7,    0,1.4931737618940646
2023-01-01,11.5,    0,2.4
2022-12-31,11.6,    0,0.9
2022-12-30,10.2,    0,1.0952732674541308
2022-12-29,9.2,    0,1.7
2022-12-28,12.1,    0,0.6
2022-12-27,10.0,    0,0.6534951844861996
2022-12-26,8.3,    0,0.4618285178195329
2022-12-25,9.6,   10,0.37588308081332195
2022-12-24,6.8,    0,-0.5
2022-12-23,4.5,    0,-0.4
2022-12-22,10.4,  165,0.05374607119264132
2022-12-21,9.9,    0,0.2
2022-12-20,9.7,    0,-1.0
2022-12-19,6.5,    0,-1.6
2022-12-18,5.5,    0,1.0129629152005966
2022-12-17,6.5,   30,1.4060644533084763
2022-12-16,9.9,0,1.7977311199751427
2022-12-15,8.8,    0,0.1
2022-12-14,9.2,    0,2.462827576037247
2022-12-13,15.0,   61,7.4
2022-12-12,13.1,    0,5.5
2022-12-11,14.8,    0,3.481632172043455
2022-12-10,16.1,    0,4.7
2022-12-09,14.6,    0,4.2
2022-12-08,15.6,    0,4.1
2022-12-07,11.9,    0,4.2
2022-12-06,13.8,    0,5.3481632172043465
2022-12-05,13.4,    0,5.475435944477073
2022-12-04,13.1,    0,4.9
2022-12-03,12.3,    0,1.6
2022-12-02,10.9,    0,6.365781741971038
2022-12-01,11.4,    0,6.562670991241133
2022-11-30,17.2,   20,6.786550172263054
2022-11-29,19.5,  211,13.4
2022-11-28,20.8,    0,8.8
2022-11-27,18.2,    0,7.89227299140684
2022-11-26,17.2,    0,10.1
2022-11-25,17.8,    0,7.9
2022-11-24,18.2,    0,8.758317650446457
2022-11-23,15.6,  140,8.957921892192395
2022-11-22,18.4,    0,10.0
2022-11-21,19.8,  140,8.673501139458699
2022-11-20,17.6,   46,10.4
2022-11-19,18.5,    0,7.8
2022-11-18,18.5,    0,6.7
2022-11-17,16.6,    0,9.035430971099778
2022-11-16,17.6,    0,9.047237833562574
2022-11-15,19.3,    0,8.1
2022-11-14,16.3,    0,8.854680828676754
2022-11-13,18.1,  130,8.86977913611159
2022-11-12,23.7,    0,10.9
2022-11-11,21.9,    0,10.5
2022-11-10,21.7,    0,8.6
2022-11-09,19.9,    0,8.9
